X,Y,Z_PID_Input,Setpoint_PID,Servo_PID_Output,Temp_degC,Sys_cal,G_cal,A_cal,M_cal
107.500,-2.062,10.687,90.0000,83.278,34,3,0,0,3
103.688,-0.500,12.875,90.0000,80.981,34,3,0,0,3
100.313,-0.500,14.750,90.0000,79.013,34,3,0,0,3
97.875,-3.062,16.312,90.0000,77.372,34,3,0,0,3
95.125,-6.625,17.875,90.0000,75.731,34,3,0,0,3
93.125,-8.750,17.687,90.0000,75.928,34,3,0,0,3
93.563,-11.062,12.687,90.0000,81.178,34,3,0,0,3
95.313,-10.687,7.000,90.0000,87.150,34,3,0,0,3
96.688,-9.625,2.750,90.0000,91.612,34,3,0,0,3
98.688,-8.250,-0.750,90.0000,95.288,34,3,0,0,3
100.750,-7.063,-2.375,90.0000,96.994,34,3,0,0,3
102.625,-7.313,-2.312,90.0000,96.928,34,3,0,0,3
